Date;Survey;Borough;Measure;Proportion;MPS
30/06/2017;PAS;Havering;Trust MPS;0,91;0,88
30/06/2017;PAS;Hillingdon;Trust MPS;0,86;0,88
30/06/2017;PAS;Hounslow;Trust MPS;0,9;0,88
30/06/2017;PAS;Islington;Trust MPS;0,85;0,88
30/06/2017;PAS;Kensington and Chelsea;Trust MPS;0,92;0,88
30/06/2017;PAS;Kingston upon Thames;Trust MPS;0,92;0,88
30/06/2017;PAS;Lambeth;Trust MPS;0,88;0,88
30/06/2017;PAS;Lewisham;Trust MPS;0,85;0,88
30/06/2017;PAS;Merton;Trust MPS;0,89;0,88
30/06/2017;PAS;Newham;Trust MPS;0,89;0,88
30/06/2017;PAS;Redbridge;Trust MPS;0,91;0,88
30/06/2017;PAS;Richmond upon Thames;Trust MPS;0,88;0,88
30/06/2017;PAS;Southwark;Trust MPS;0,83;0,88
30/06/2017;PAS;Sutton;Trust MPS;0,87;0,88
30/06/2017;PAS;Tower Hamlets;Trust MPS;0,89;0,88
30/06/2017;PAS;Waltham Forest;Trust MPS;0,89;0,88
30/06/2017;PAS;Wandsworth;Trust MPS;0,9;0,88
30/06/2017;PAS;City of Westminster;Trust MPS;0,91;0,88
30/09/2017;PAS;Barking and Dagenham;Trust MPS;0,9;0,87
30/09/2017;PAS;Barnet;Trust MPS;0,89;0,87
30/09/2017;PAS;Bexley;Trust MPS;0,91;0,87
30/09/2017;PAS;Brent;Trust MPS;0,79;0,87
30/09/2017;PAS;Bromley;Trust MPS;0,86;0,87
30/09/2017;PAS;Camden;Trust MPS;0,87;0,87
30/09/2017;PAS;Croydon;Trust MPS;0,85;0,87
30/09/2017;PAS;Ealing;Trust MPS;0,86;0,87
30/09/2017;PAS;Enfield;Trust MPS;0,83;0,87
30/09/2017;PAS;Greenwich;Trust MPS;0,9;0,87
30/09/2017;PAS;Hackney;Trust MPS;0,8;0,87
30/09/2017;PAS;Hammersmith and Fulham;Trust MPS;0,89;0,87
30/09/2017;PAS;Haringey;Trust MPS;0,81;0,87
30/09/2017;PAS;Harrow;Trust MPS;0,86;0,87
30/09/2017;PAS;Havering;Trust MPS;0,89;0,87
30/09/2017;PAS;Hillingdon;Trust MPS;0,86;0,87
30/09/2017;PAS;Hounslow;Trust MPS;0,88;0,87
30/09/2017;PAS;Islington;Trust MPS;0,87;0,87
30/09/2017;PAS;Kensington and Chelsea;Trust MPS;0,92;0,87
30/09/2017;PAS;Kingston upon Thames;Trust MPS;0,91;0,87
30/09/2017;PAS;Lambeth;Trust MPS;0,88;0,87
30/09/2017;PAS;Lewisham;Trust MPS;0,85;0,87
30/09/2017;PAS;Merton;Trust MPS;0,89;0,87
30/09/2017;PAS;Newham;Trust MPS;0,88;0,87
30/09/2017;PAS;Redbridge;Trust MPS;0,9;0,87
30/09/2017;PAS;Richmond upon Thames;Trust MPS;0,89;0,87
30/09/2017;PAS;Southwark;Trust MPS;0,84;0,87
30/09/2017;PAS;Sutton;Trust MPS;0,89;0,87
30/09/2017;PAS;Tower Hamlets;Trust MPS;0,88;0,87
30/09/2017;PAS;Waltham Forest;Trust MPS;0,86;0,87
30/09/2017;PAS;Wandsworth;Trust MPS;0,92;0,87
30/09/2017;PAS;City of Westminster;Trust MPS;0,92;0,87
31/12/2017;PAS;Barking and Dagenham;Trust MPS;0,89;0,86
31/12/2017;PAS;Barnet;Trust MPS;0,85;0,86
31/12/2017;PAS;Bexley;Trust MPS;0,91;0,86
31/12/2017;PAS;Brent;Trust MPS;0,8;0,86
31/12/2017;PAS;Bromley;Trust MPS;0,87;0,86
31/12/2017;PAS;Camden;Trust MPS;0,88;0,86
31/12/2017;PAS;Croydon;Trust MPS;0,84;0,86
31/12/2017;PAS;Ealing;Trust MPS;0,86;0,86
31/12/2017;PAS;Enfield;Trust MPS;0,8;0,86
31/12/2017;PAS;Greenwich;Trust MPS;0,89;0,86
31/12/2017;PAS;Hackney;Trust MPS;0,78;0,86
31/12/2017;PAS;Hammersmith and Fulham;Trust MPS;0,9;0,86
31/12/2017;PAS;Haringey;Trust MPS;0,78;0,86
31/12/2017;PAS;Harrow;Trust MPS;0,83;0,86
31/12/2017;PAS;Havering;Trust MPS;0,89;0,86
31/12/2017;PAS;Hillingdon;Trust MPS;0,87;0,86
31/12/2017;PAS;Hounslow;Trust MPS;0,87;0,86
31/12/2017;PAS;Islington;Trust MPS;0,87;0,86
31/12/2017;PAS;Kensington and Chelsea;Trust MPS;0,93;0,86
31/12/2017;PAS;Kingston upon Thames;Trust MPS;0,89;0,86
31/12/2017;PAS;Lambeth;Trust MPS;0,9;0,86
31/12/2017;PAS;Lewisham;Trust MPS;0,86;0,86
31/12/2017;PAS;Merton;Trust MPS;0,9;0,86
31/12/2017;PAS;Newham;Trust MPS;0,88;0,86
31/12/2017;PAS;Redbridge;Trust MPS;0,87;0,86
31/12/2017;PAS;Richmond upon Thames;Trust MPS;0,9;0,86
31/12/2017;PAS;Southwark;Trust MPS;0,86;0,86
31/12/2017;PAS;Sutton;Trust MPS;0,9;0,86
31/12/2017;PAS;Tower Hamlets;Trust MPS;0,88;0,86
31/12/2017;PAS;Waltham Forest;Trust MPS;0,82;0,86
31/12/2017;PAS;Wandsworth;Trust MPS;0,93;0,86
